Restaurant_id,Restaurant_Name,Country_name,City name,User_rating_votes,User_aggregate_rating,Cuisines
308322,Hauz Khas Social,India,New Delhi,7931,4.3,"Continental, American, Asian, North Indian"
18037817,Qubitos - The Terrace Cafe,India,New Delhi,778,4.5,"Thai, European, Mexican, North Indian, Chinese, Cafe"
312345,The Hudson Cafe,India,New Delhi,1537,4.4,"Cafe, Italian, Continental, Chinese"
307490,Summer House Cafe,India,New Delhi,1823,4.1,"Italian, Continental"
18241537,38 Barracks,India,New Delhi,840,4.4,"North Indian, Italian, Asian, American"
18161577,Spezia Bistro,India,New Delhi,1071,4.6,"Cafe, Continental, Chinese, Italian"
303960,Manhattan Brewery & Bar Exchange,India,Gurgaon,2093,4.6,"Finger Food, American, Continental, North Indian, Italian"
306134,The Wine Company,India,Gurgaon,2412,2.4,"Italian, European"
18233593,Farzi Cafe,India,New Delhi,1942,4.4,Modern Indian
7528,Indian Grill Room,India,Gurgaon,1262,4.5,"North Indian, Mughlai"
18273624,Cafeteria & Co.,India,New Delhi,1136,4.6,"Continental, Mexican"
308022,Farzi Cafe,India,Gurgaon,4385,4.3,Modern Indian
18157413,Molecule Air Bar,India,Gurgaon,1809,4.2,"Continental, North Indian, Italian, Chinese"
18279449,HotMess,India,New Delhi,1129,4.3,"North Indian, Mediterranean, Asian, Fast Food"
311057,My Bar Headquarters,India,New Delhi,3010,3.7,"North Indian, Mughlai, Chinese"
18235515,FLYP@MTV,India,New Delhi,1379,3.9,"North Indian, Mexican, Italian, Continental"
18238278,Tamasha,India,New Delhi,1801,3.7,"Finger Food, North Indian, Continental, Italian"
17977777,The Barbeque Company,India,New Delhi,621,4.2,"North Indian, Chinese, Continental"
900,Saravana Bhavan,India,New Delhi,5172,4.3,South Indian
18246991,Odeon Social,India,New Delhi,1959,4.1,"Continental, American, Asian, North Indian"
Restaurant_id,Restaurant_Name,Country_name,City name,User_rating_votes,User_aggregate_rating,Cuisines
18017612,Spice Kraft,India,Kolkata,1424,4.8,"Continental, Middle Eastern, Asian"
18249144,Hoppipola,India,Kolkata,1103,4.2,"Italian, Mexican, American, Mediterranean"
25570,Barbeque Nation,India,Kolkata,1753,4.9,"North Indian, Chinese"
20404,Peter Cat,India,Kolkata,7574,4.3,"Continental, North Indian"
20842,Barbeque Nation,India,Kolkata,5966,4.9,"North Indian, Chinese"
18017615,What's Up,India,Kolkata,1126,4.0,"Cafe, Chinese, Continental"
20002,6 Ballygunge Place,India,Kolkata,1778,4.4,Bengali
25587,TGI Friday's,India,Kolkata,911,4.0,"Tex-Mex, American"
24286,The Irish House,India,Kolkata,2224,4.4,"European, American"
18217475,Asia Kitchen by Mainland China,India,Kolkata,945,4.6,"Asian, Chinese"
20747,India Restaurant,India,Kolkata,1219,4.6,"Biryani, North Indian, Chinese, Mughlai"
18377112,Nawwarah,India,Kolkata,326,3.9,"Chinese, Cafe, North Indian, Desserts"
24530,Santa's Fantasea,India,Kolkata,2584,4.2,"Seafood, Chinese"
18343731,Mumbai Local,India,Kolkata,704,4.2,"North Indian, Chinese, Street Food"
24452,Sigree Global Grill,India,Kolkata,1616,4.1,North Indian
20870,BarBQ,India,Kolkata,5288,4.2,"Chinese, North Indian"
20350,Mocambo,India,Kolkata,4464,3.5,"Continental, Italian, North Indian"
25664,Gabbar's Bar & Kitchen,India,Kolkata,1484,4.4,"North Indian, Chinese, Mexican, Italian"
18259462,Ocean Grill,India,Kolkata,1040,3.6,"Continental, Seafood, North Indian, Asian"
21220,Flame & Grill,India,Kolkata,1064,3.9,"North Indian, Continental"
Restaurant_id,Restaurant_Name,Country_name,City name,User_rating_votes,User_aggregate_rating,Cuisines
18313566,Farzi Cafe,India,Mumbai,1240,4.3,Modern Indian
18075122,The Fusion Kitchen,India,Mumbai,2083,4.7,"North Indian, Italian, Chinese, Mexican"
18237753,Tea Villa Cafe,India,Mumbai,2040,4.1,"Cafe, Italian, Desserts, Fast Food, Chinese, Tea"
18463285,Mumbai Vibe,India,Mumbai,146,3.8,"Cafe, Continental, North Indian, Italian, Chinese, Bakery, Desserts, Finger Food"
18435740,38 Degree East,India,Mumbai,181,3.8,"North Indian, Chinese, Thai"
17806994,Mirchi And Mime,India,Mumbai,3244,4.9,"North Indian, South Indian, Mughlai"
18318116,R' ADDA,India,Mumbai,536,4.0,"Street Food, Burger, Desserts, Italian, Pizza, North Indian, European, Finger Food"
18458563,The American Joint,India,Mumbai,170,3.4,"Healthy Food, American, Burger, Salad"
18388642,Grandmama's Cafe,India,Mumbai,617,3.8,"Continental, Italian"
49003,SpiceKlub,India,Mumbai,3370,4.2,North Indian
18408295,Stacks And Racks,India,Mumbai,413,4.6,"American, Burger, Fast Food"
18270976,Tea Villa Cafe,India,Mumbai,1295,4.1,"Cafe, Italian, Desserts, Fast Food, Chinese, Tea"
18447068,Cafe Hydro,India,Mumbai,156,4.0,Asian
18441580,Tea Villa Cafe,India,Mumbai,317,3.9,"Cafe, Italian, Desserts, Fast Food, Chinese, Tea"
34757,Joey's Pizza,India,Mumbai,2662,4.5,Pizza
35217,Joey's Pizza,India,Mumbai,5145,4.0,Pizza
16527711,The Rolling Pin,India,Mumbai,2076,3.9,"Bakery, Desserts, Cafe"
49486,Tea Villa Cafe,India,Mumbai,1515,3.6,"Cafe, Italian, Desserts, Fast Food, Chinese, Tea"
18233317,145 Kala Ghoda,India,Mumbai,1606,4.2,"Fast Food, Beverages, Desserts"
18216876,The English Department Bar & Diner,India,Mumbai,885,3.9,"Italian, Continental, Mexican, Japanese, American, British"
Restaurant_id,Restaurant_Name,Country_name,City name,User_rating_votes,User_aggregate_rating,Cuisines
18353121,Flechazo,India,Bangalore,983,4.4,"Asian, Mediterranean, North Indian"
51705,Toit,India,Bangalore,10934,4.8,"Italian, American, Pizza"
51040,Truffles,India,Bangalore,9667,4.7,"American, Burger, Cafe"
18439634,ECHOES Koramangala,India,Bangalore,276,4.7,"Continental, American, Italian, North Indian, Chinese, Cafe"
58882,Big Brewsky,India,Bangalore,5705,4.5,"Finger Food, North Indian, Italian, Continental, Thai, South Indian"
18339874,Farzi Cafe,India,Bangalore,754,4.4,Modern Indian
18385443,Koramangala Social,India,Bangalore,1288,4.5,"Continental, American"
18366652,Onesta,India,Bangalore,627,4.6,"Pizza, Cafe, Italian"
18162866,Three Dots & A Dash,India,Bangalore,1354,3.9,"European, Continental"
56464,Glen's Bakehouse,India,Bangalore,3533,4.0,"Bakery, Desserts, Cafe"
18221572,Onesta,India,Bangalore,1413,4.3,"Pizza, Cafe, Italian"
56618,AB's - Absolute Barbecues,India,Bangalore,6907,4.6,"European, Mediterranean, North Indian"
18305628,Eat Street,India,Bangalore,753,4.3,"North Indian, Chinese, Italian, Street Food, Desserts"
18422898,Hoot,India,Bangalore,405,3.9,"Continental, Italian, North Indian"
18430785,Communiti,India,Bangalore,334,4.2,Continental
18359919,Onesta,India,Bangalore,781,4.6,"Pizza, Cafe, Italian"
58268,The Fatty Bao - Asian Gastro Bar,India,Bangalore,2369,4.7,Asian
50943,Sultans of Spice,India,Bangalore,2416,4.1,"North Indian, Mughlai"
18407918,Bombay Brasserie,India,Bangalore,231,4.2,Modern Indian
54162,The Black Pearl,India,Bangalore,5385,4.1,"North Indian, European, Mediterranean"
Restaurant_id,Restaurant_Name,Country_name,City name,User_rating_votes,User_aggregate_rating,Cuisines
18354483,Farzi Cafe,India,Pune,868,4.3,Modern Indian
13231,Le Plaisir,India,Pune,2510,4.8,"European, Desserts"
6507967,Tales & Spirits,India,Pune,997,4.1,"Italian, Continental, Cafe"
6508323,The Urban Foundry,India,Pune,1099,4.5,"North Indian, Asian"
18441490,Barbeque Ville,India,Pune,208,4.4,North Indian
6505309,The Little Next Door,India,Pune,1143,4.1,"Finger Food, Italian, Spanish, Greek"
6507495,Apache,India,Pune,377,4.1,Finger Food
